,name,link,price,description,date_collected,image_link,in_stock,details
347,Sauvignon Blanc Pouch 1.5L Maivino,https://www.kingscountywines.com/sauvignon-blanc-pouch-15l-maivino.html,23.99,"Zippy, bright flowers and fruit. Perfect summer pouch.",2020-02-10 22:53:21.850389,null,In stock,null
348,Nebbiolo d'Alba 2016 Antica Cascina Conti,https://www.kingscountywines.com/nebbiolo-dalba-2016-antica-cascina-conti.html,19.99,"Violets, mint, and leather. Fresh, brisk acidity, and a firm handshake.",2020-02-10 22:53:22.056147,https://cdn.shoplightspeed.com/shops/603808/files/17746684/nebbiolo-dalba-2016-antica-cascina-conti.jpg,In stock,null
349,Chianti Classico 2017 Montefili,https://www.kingscountywines.com/chianti-classico-2017-montefili.html,29.99,Sensational sangiovese from sky-high vineyards above Panzano.,2020-02-10 22:53:22.244143,https://cdn.shoplightspeed.com/shops/603808/files/17744804/chianti-classico-2017-montefili.jpg,In stock,null
350,Frappato 2018 Valle dell'Acate,https://www.kingscountywines.com/frappato-2018-valle-dellacate.html,21.99,"Strawberry rhubarb scented, juicy Sicilian wonder.",2020-02-10 22:53:22.450973,https://cdn.shoplightspeed.com/shops/603808/files/17744763/frappato-2018-valle-dellacate.jpg,In stock,null
351,Torrontes 2019 Dos Minas,https://www.kingscountywines.com/torrontes-2019-dos-mina.html,12.99,"Bright, aromatic grapefruit. Fresh summery fun.",2020-02-10 22:53:22.666860,https://cdn.shoplightspeed.com/shops/603808/files/17744912/torrontes-2019-dos-minas.jpg,In stock,null
352,Riesling Trocken 2018 Peter Jakob Kuhn,https://www.kingscountywines.com/riesling-trocken-2018-peter-jakob-kuhn.html,25.99,"Rich, oily, smelly as hell. High elevation goodness, don't miss.",2020-02-10 22:53:22.877201,https://cdn.shoplightspeed.com/shops/603808/files/17746425/riesling-trocken-2018-peter-jakob-kuhn.jpg,In stock,null
353,"Etna Rosso ""La Vigna di Gioacchino"" 2018 Sofia",https://www.kingscountywines.com/etna-rosso-la-vigna-di-gioacchino-2018-sofia.html,33.99,"100% nerello mascalese. Elegant, structured, ashy. Proper.",2020-02-10 22:53:23.070640,null,In stock,null
354,Pais Viejo 2018 J. Bouchon,https://www.kingscountywines.com/pais-viejo-2018-j-bouchon.html,17.99,"Smoky, juicy. Chill me. Grapes grown on tree tops!",2020-02-10 22:53:23.298456,https://cdn.shoplightspeed.com/shops/603808/files/17744900/pais-viejo-2018-j-bouchon.jpg,In stock,null
355,Pinot Gris 2017 Eyrie Vineyards,https://www.kingscountywines.com/pinot-gris-2017-eyrie-vineyards.html,22.99,"Baking spices, lively, textured pinot gris from Dundee Hills.",2020-02-10 22:53:23.476314,https://cdn.shoplightspeed.com/shops/603808/files/17744944/pinot-gris-2017-eyrie-vineyards.jpg,In stock,null
356,Cabernet Sauvignon 2017 Pura Fe,https://www.kingscountywines.com/cabernet-sauvignon-2017-pura-fe.html,22.99,"Big, flavorful cab, by-the-book biodynamic. Long, haunting.",2020-02-10 22:53:23.698115,https://cdn.shoplightspeed.com/shops/603808/files/17642468/cabernet-sauvignon-2017-pura-fe.jpg,In stock,null
357,Rosso Umbria Un Paio 2016 Le Pianate,https://www.kingscountywines.com/rosso-umbria-un-paio-2016-le-pianate.html,16.99,"Drinkable, aromatic sagrantino blend. Earthy, plummy, cherry good times.",2020-02-10 22:53:23.898287,https://cdn.shoplightspeed.com/shops/603808/files/17746710/rosso-umbria-un-paio-2016-le-pianate.jpg,In stock,null
358,Grenache Hook 2017 Santa Cruz Mountain Vineyards,https://www.kingscountywines.com/grenache-hook-2017-santa-cruz-mountain-vineyards.html,22.99,Zippy & spicy; lush red fruit. Slays with Mexican or Indian takeout.,2020-02-10 22:53:24.115376,https://cdn.shoplightspeed.com/shops/603808/files/17597574/grenache-hook-2017-santa-cruz-mountain-vineyards.jpg,In stock,null
359,Brut Método Tradicional 2016 Cave Geisse,https://www.kingscountywines.com/brut-metodo-tradicional-2016-cave-geisse.html,25.99,"High-elevation, volcanic chard & PN from Brazil. Toasty, almondy, really good.",2020-02-10 22:53:24.306913,https://cdn.shoplightspeed.com/shops/603808/files/17651597/brut-metodo-tradicional-2016-cave-geisse.jpg,In stock,null
360,Muscadet Sèvre-et-Maine 2018 Batard Langelier,https://www.kingscountywines.com/muscadet-sevre-et-maine-2018-batard-langelier.html,15.99,"Bone-dry, citrusy, flinty, waxy-textured quencher. Biodynamic. Oysters.",2020-02-10 22:53:24.553125,https://cdn.shoplightspeed.com/shops/603808/files/17597556/muscadet-sevre-et-maine-2018-batard-langelier.jpg,In stock,null
361,Menetou-Salon Blanc 2018 Philippe Gilbert,https://www.kingscountywines.com/menetou-salon-blanc-2018-philippe-gilbert.html,21.99,"Creamy, lemony sauvignon blanc. Natural, soft, charming.",2020-02-10 22:53:24.739273,https://cdn.shoplightspeed.com/shops/603808/files/17597554/menetou-salon-blanc-2018-philippe-gilbert.jpg,In stock,null
362,Prosecco Brut NV Ananas,https://www.kingscountywines.com/prosecco-brut-nv-ananas.html,13.99,"Dry, fresh, classic Prosecco. Drink up, cheers.",2020-02-10 22:53:24.927748,https://cdn.shoplightspeed.com/shops/603808/files/17597195/prosecco-brut-nv-ananas.jpg,In stock,null
363,Graševina 2017 Enjingi,https://www.kingscountywines.com/grasevina-2017-enjingi.html,17.99,"Ambient-ferment welschriesling. Dry, with some chamomile notes. Wow.",2020-02-10 22:53:25.107101,https://cdn.shoplightspeed.com/shops/603808/files/17460944/grasevina-2017-enjingi.jpg,In stock,null
364,"Malvasia ""Bela"" 2014 Rodica",https://www.kingscountywines.com/malvasia-bela-2014-rodica.html,26.99,"Champagne meets pet-nat! Orange, cheerful, beguiling. Buy it.",2020-02-10 22:53:25.340395,https://cdn.shoplightspeed.com/shops/603808/files/17460958/malvasia-bela-2014-rodica.jpg,In stock,null
365,Sancerre 2018 Domaine Auchère,https://www.kingscountywines.com/sancerre-750ml-2018-domaine-auchere.html,20.99,Textbook Sancerre. World's most famous sauvignon blanc.,2020-02-10 22:53:25.531678,https://cdn.shoplightspeed.com/shops/603808/files/17504782/sancerre-2018-domaine-auchere.jpg,In stock,null
366,Syrah 2017 Villard,https://www.kingscountywines.com/syrah-2017-villard.html,17.99,"Cool-climate, sustainable syrah. Eucalyptusy blueberry juice.",2020-02-10 22:53:25.777704,https://cdn.shoplightspeed.com/shops/603808/files/17437042/syrah-2017-villard.jpg,In stock,null
367,Vin Gris 2018 Birichino,https://www.kingscountywines.com/vin-gris-2018-birichino.html,19.99,Sturdy pink that lasts throughout the year.,2020-02-10 22:53:26.014436,https://cdn.shoplightspeed.com/shops/603808/files/17504697/vin-gris-2018-birichino.jpg,In stock,null
